Phase,Goal,Subgoal,Required capacity,human*,agent,agent*,human,Obs,Pred,Dir,TA1 Performer Role,TA1 supporter role,TA2 performer role,TA2 supporter role
1,Become familiar with dataset,Import and organize data,"Data ingestion, file management, metadata handling",green,green,green,yellow,"Show files, metadata, import errors","Preview organization rules","Rename, reorder, exclude, approve","Human validates corpus","Agent imports/organizes","Agent imports/organizes","Human validates"
1,Become familiar with dataset,Read/listen iteratively,"Sustained attention, comprehension, memory encoding",green,yellow,yellow,orange,"Show summaries with source excerpts","Indicate summarization limits","Request full context/rereading","Human reads interpretively","Agent summarizes/retrieves","Agent pre-reads/summarizes","Human verifies"
1,Become familiar with dataset,Identify initial impressions,"Salience detection, contextual interpretation",green,yellow,yellow,yellow,"Show flagged patterns and evidence","Indicate salience criteria","Accept, reject, annotate","Human interprets salience","Agent surfaces patterns","Agent suggests impressions","Human validates"
1,Become familiar with dataset,Record analytic notes,"Annotation, externalization, note linkage",green,green,yellow,green,"Show note-excerpt links","Mark generated vs human notes","Edit, unlink, relink, delete","Human writes notes","Agent links/organizes","Agent drafts notes","Human edits"
1,Become familiar with dataset,Track curiosities/questions,"Reflexivity, uncertainty management, hypothesis generation",green,yellow,orange,green,"Show question history","Indicate reminder triggers","Prioritize, archive, refocus","Human formulates questions","Agent tracks/reminds","Agent suggests questions","Human judges"
2,Generate initial codes,Segment excerpts,"Boundary detection, semantic chunking",green,green,green,yellow,"Show suggested boundaries","Indicate segmentation logic","Resize, split, merge, override","Human defines segments","Agent suggests boundaries","Agent segments","Human verifies"
2,Generate initial codes,Assign labels,"Categorization, abstraction, linguistic representation",green,green,yellow,green,"Show label candidates and sources","Flag uncertain labels","Choose, edit, create code","Human codes","Agent suggests labels","Agent draft-codes","Human validates"
2,Generate initial codes,Maintain coding granularity,"Working memory, comparative judgment",yellow,green,yellow,yellow,"Show granularity drift","Explain consistency rule","Set/lock rules","Human monitors granularity","Agent detects drift","Agent standardizes","Human resolves"
2,Generate initial codes,Detect redundant codes,"Similarity estimation, pattern comparison",yellow,green,green,yellow,"Show overlap map","Preview affected excerpts","Merge, keep separate, reverse","Human judges redundancy","Agent detects similarity","Agent detects/merges candidates","Human approves"
2,Generate initial codes,Record coding rationale,"Explainability, traceability, epistemic justification",green,green,orange,green,"Show rationale-code links","Flag weak/generated rationale","Edit, rewrite, confirm","Human justifies codes","Agent documents rationale","Agent drafts rationale","Human supplies justification"
3,Construct candidate themes,Group related codes,"Clustering, semantic synthesis",green,green,green,yellow,"Show clusters and evidence","Explain clustering basis","Move codes/groups","Human groups conceptually","Agent clusters","Agent clusters","Human validates"
3,Construct candidate themes,Identify code relationships,"Relational reasoning, conceptual integration",green,yellow,yellow,green,"Show relationship graph","Label relation type","Confirm, edit, remove links","Human interprets relations","Agent suggests links","Agent maps relations","Human validates"
